timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172197125,17,HTTP Request,200,,Thread Group 1-49,text,true,,351,638,49,49,http://localhost:8081/transactions,17,0,1
1752172197071,71,HTTP Request,200,,Thread Group 1-6,text,true,,351,638,49,49,http://localhost:8081/transactions,71,0,0
1752172197083,60,HTTP Request,200,,Thread Group 1-8,text,true,,351,638,49,49,http://localhost:8081/transactions,60,0,0
1752172197125,18,HTTP Request,200,,Thread Group 1-17,text,true,,351,638,49,49,http://localhost:8081/transactions,18,0,0
1752172197071,73,HTTP Request,200,,Thread Group 1-4,text,true,,351,638,49,49,http://localhost:8081/transactions,73,0,0
1752172197097,47,HTTP Request,200,,Thread Group 1-16,text,true,,351,638,49,49,http://localhost:8081/transactions,47,0,0
1752172197120,24,HTTP Request,200,,Thread Group 1-29,text,true,,351,638,49,49,http://localhost:8081/transactions,24,0,0
1752172197113,31,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,49,49,http://localhost:8081/transactions,31,0,0
1752172197111,34,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,49,49,http://localhost:8081/transactions,34,0,0
1752172197127,19,HTTP Request,200,,Thread Group 1-5,text,true,,351,638,49,49,http://localhost:8081/transactions,19,0,0
1752172197084,62,HTTP Request,200,,Thread Group 1-25,text,true,,351,638,49,49,http://localhost:8081/transactions,62,0,0
1752172197111,36,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,49,49,http://localhost:8081/transactions,36,0,0
1752172197126,21,HTTP Request,200,,Thread Group 1-30,text,true,,351,638,49,49,http://localhost:8081/transactions,21,0,0
1752172197094,54,HTTP Request,200,,Thread Group 1-35,text,true,,351,638,49,49,http://localhost:8081/transactions,54,0,0
1752172197128,20,HTTP Request,200,,Thread Group 1-15,text,true,,351,638,49,49,http://localhost:8081/transactions,20,0,0
1752172197113,46,HTTP Request,200,,Thread Group 1-39,text,true,,351,638,51,51,http://localhost:8081/transactions,46,0,0
1752172197127,32,HTTP Request,200,,Thread Group 1-44,text,true,,351,638,51,51,http://localhost:8081/transactions,32,0,0
1752172197127,32,HTTP Request,200,,Thread Group 1-36,text,true,,351,638,51,51,http://localhost:8081/transactions,32,0,0
1752172197077,82,HTTP Request,200,,Thread Group 1-42,text,true,,351,638,51,51,http://localhost:8081/transactions,82,0,1
1752172197074,85,HTTP Request,200,,Thread Group 1-22,text,true,,351,638,51,51,http://localhost:8081/transactions,85,0,0
1752172197080,80,HTTP Request,200,,Thread Group 1-33,text,true,,351,638,51,51,http://localhost:8081/transactions,80,0,0
1752172197099,61,HTTP Request,200,,Thread Group 1-45,text,true,,351,638,51,51,http://localhost:8081/transactions,61,0,4
1752172197128,33,HTTP Request,200,,Thread Group 1-12,text,true,,351,638,51,51,http://localhost:8081/transactions,33,0,0
1752172197140,31,HTTP Request,200,,Thread Group 1-40,text,true,,351,638,53,53,http://localhost:8081/transactions,31,0,0
1752172197141,30,HTTP Request,200,,Thread Group 1-28,text,true,,351,638,53,53,http://localhost:8081/transactions,30,0,0
1752172197130,41,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,53,53,http://localhost:8081/transactions,41,0,0
1752172197129,43,HTTP Request,200,,Thread Group 1-27,text,true,,351,638,53,53,http://localhost:8081/transactions,43,0,0
1752172197126,46,HTTP Request,200,,Thread Group 1-9,text,true,,351,638,53,53,http://localhost:8081/transactions,46,0,0
1752172197129,45,HTTP Request,200,,Thread Group 1-32,text,true,,351,638,54,54,http://localhost:8081/transactions,45,0,0
1752172197119,55,HTTP Request,200,,Thread Group 1-48,text,true,,351,638,54,54,http://localhost:8081/transactions,55,0,2
1752172197144,33,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,54,54,http://localhost:8081/transactions,33,0,0
1752172197129,48,HTTP Request,200,,Thread Group 1-18,text,true,,351,638,54,54,http://localhost:8081/transactions,48,0,0
1752172197171,6,HTTP Request,200,,Thread Group 1-40,text,true,,351,638,54,54,http://localhost:8081/transactions,6,0,0
1752172197125,52,HTTP Request,200,,Thread Group 1-14,text,true,,351,638,54,54,http://localhost:8081/transactions,52,0,0
1752172197083,94,HTTP Request,200,,Thread Group 1-13,text,true,,351,638,54,54,http://localhost:8081/transactions,94,0,0
1752172197141,36,HTTP Request,200,,Thread Group 1-41,text,true,,351,638,54,54,http://localhost:8081/transactions,36,0,0
1752172197159,19,HTTP Request,200,,Thread Group 1-44,text,true,,351,638,54,54,http://localhost:8081/transactions,19,0,0
1752172197145,33,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,54,54,http://localhost:8081/transactions,33,0,0
1752172197125,53,HTTP Request,200,,Thread Group 1-10,text,true,,351,638,54,54,http://localhost:8081/transactions,53,0,0
1752172197157,21,HTTP Request,200,,Thread Group 1-54,text,true,,351,638,54,54,http://localhost:8081/transactions,21,0,1
